ID Caso,Código DANE de Municipio,Municipio,Departamento,Año,Mes,Día,ID Persona,Sexo,Etnia,Ocupación,Calidad de la Víctima o la Baja,Tipo de Población Vulnerable,Militante Político,Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Situación Actual de la Víctima,Fuente de Información de la Desaparición,Edad,latitud-longitud
100265,25368,JERUSALEN,CUNDINAMARCA,1991,5,25,72226,HOMBRE,,PERSONAL DE SALUD,CIVIL,MAESTRO O EDUCADOR,,,,APARECIÓ MUERTO,,,POINT (-74.689158536 4.571350254)
100282,25386,LA MESA,CUNDINAMARCA,2004,12,2,129425,HOMBRE,,EMPLEADO,CIVIL,,,,,APARECIÓ MUERTO,ENTIDAD PÚBLICA,ADULTEZ (29-59 AÑOS),POINT (-74.47321717 4.650773167)
101616,25885,YACOPI,CUNDINAMARCA,1993,3,9,71898,HOMBRE,,CAMPESINO,CIVIL,,,,,APARECIÓ MUERTO,FAMILIARES O COMUNIDAD,,POINT (-74.33802435 5.459290341)
101616,25885,YACOPI,CUNDINAMARCA,1993,3,9,71900,HOMBRE,,CAMPESINO,CIVIL,,,,,APARECIÓ MUERTO,FAMILIARES O COMUNIDAD,ADOLESCENCIA (12-17 AÑOS),POINT (-74.33802435 5.459290341)
102204,27099,BOJAYA,CHOCO,1997,6,8,80824,HOMBRE,,OBRERO,CIVIL,,UNIÓN PATRIÓTICA,,,APARECIÓ MUERTO,ENTIDAD PÚBLICA,,POINT (-77.09933025 6.474666885)
102489,27413,LLORO,CHOCO,2000,6,12,89819,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,APARECIÓ MUERTO,,ADULTEZ (29-59 AÑOS),POINT (-76.38544449 5.585101179)
102675,27615,RIOSUCIO,CHOCO,1997,5,10,80640,HOMBRE,,SIN INFORMACIÓN,CIVIL,MILITANTE POLÍTICO,UNIÓN PATRIÓTICA,,,DESAPARECIDO,ENTIDAD PÚBLICA,ADULTEZ (29-59 AÑOS),POINT (-77.35636 7.375606)
103705,41396,LA PLATA,HUILA,2006,11,11,120433,HOMBRE,,CAMPESINO,CIVIL,,,,,APARECIÓ MUERTO,,,POINT (-76.00117299 2.328076586)
103705,41396,LA PLATA,HUILA,2006,11,11,120434,HOMBRE,,CAMPESINO,CIVIL,,,,,APARECIÓ MUERTO,,,POINT (-76.00117299 2.328076586)
104351,41551,PITALITO,HUILA,2000,2,19,88432,HOMBRE,,CAMPESINO,CIVIL,,,,,APARECIÓ MUERTO,FAMILIARES O COMUNIDAD,ADULTEZ (29-59 AÑOS),POINT (-76.05217643 1.848217185)
104568,44001,RIOHACHA,LA GUAJIRA,2004,2,13,129103,HOMBRE,,PARAMILITAR,COMBATIENTE,,,GRUPO PARAMILITAR,NO IDENTIFICADO,APARECIÓ MUERTO,FAMILIARES O COMUNIDAD,ADULTEZ (29-59 AÑOS),POINT (-72.95876315 11.24297214)
105563,44430,MAICAO,LA GUAJIRA,2000,5,13,89689,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,APARECIÓ MUERTO,FAMILIARES O COMUNIDAD,JUVENTUD (18-28 AÑOS),POINT (-72.29500818 11.38157764)
105563,44430,MAICAO,LA GUAJIRA,2000,5,13,89690,HOMBRE,,DELINCUENTE,CIVIL,,,,,APARECIÓ MUERTO,FAMILIARES O COMUNIDAD,,POINT (-72.29500818 11.38157764)
105563,44430,MAICAO,LA GUAJIRA,2000,5,13,89691,HOMBRE,,DELINCUENTE,CIVIL,,,,,APARECIÓ MUERTO,FAMILIARES O COMUNIDAD,,POINT (-72.29500818 11.38157764)
106281,47001,SANTA MARTA,MAGDALENA,2004,1,14,61537,HOMBRE,,PARAMILITAR,COMBATIENTE,,,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN,PERPETRADOR DEL HECHO,,POINT (-73.88527855 11.12189436)
