"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total Combatientes","Total Civiles","Total de Víctimas del Caso","Tipo de Armas","latitud-longitud"
"185,266","CR004878","1,977","1","1","11001","BOGOTA, D.C.","BOGOTA, D. C.","AREA METROPOLITANA DE BOGOTA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","M19","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-74.181072702 4.316107698)"
"185,267",,"1,978","8","13","18001","FLORENCIA","CAQUETA","FLORENCIA Y AREA DE INFLUENCIA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","M19","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-75.609796 1.618234)"
"185,268","CR012154","1,982","8","1","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","SUR DEL VALLE","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","GUERRILLA","M19","0","0","0","0","0","0","6","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-76.57649259 3.399043723)"
"185,269",,"1,991","6","1","17001","MANIZALES","CALDAS","EJE CAFETERO","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","EPL","0","1","0","0","0","0","0","0","0",,,"0","4","4","ARTEFACTO EXPLOSIVO","POINT (-75.50727881 5.08343301)"
"185,271","CR005155","1,989","11","27","25754","SOACHA","CUNDINAMARCA","AREA METROPOLITANA DE BOGOTA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","0","0","0","0","0","0",,,"0","107","107","ARTEFACTO EXPLOSIVO","POINT (-74.24029696 4.581866267)"
"185,272","CR005159","1,998","12","12","68001","BUCARAMANGA","SANTANDER","PROVINCIA DE SOTO","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA EPL","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-73.11156997 7.155833544)"
"185,273","CR018882","1,976","2","3","11001","BOGOTA, D.C.","BOGOTA, D. C.","AREA METROPOLITANA DE BOGOTA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","EPL","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-74.1810727 4.316107698)"
"185,274","CR005127","1,978","2","12","11001","BOGOTA, D.C.","BOGOTA, D. C.","AREA METROPOLITANA DE BOGOTA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","EPL","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-74.1810727 4.316107698)"
"185,275","CR000012","1,978","2","17","11001","BOGOTA, D.C.","BOGOTA, D. C.","AREA METROPOLITANA DE BOGOTA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","EPL","0","0","0","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-74.107359 4.650173)"
"185,276","CR005128","1,978","5","29","68001","BUCARAMANGA","SANTANDER","PROVINCIA DE SOTO","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,"2 CAPTURADOS","0","0","0","ARTEFACTO EXPLOSIVO","POINT (-73.132582 7.116381)"
